predicted_label	confidence	ensemble_agreement
3	0.999389	1.000000
1	0.999150	1.000000
3	0.998528	1.000000
3	0.999950	1.000000
3	0.998816	1.000000
1	0.995514	1.000000
3	0.541508	0.750000
1	0.999750	1.000000
4	0.961523	1.000000
2	0.926668	1.000000
1	0.880628	1.000000
1	0.986740	1.000000
3	0.999563	1.000000
2	0.962907	1.000000
1	0.999869	1.000000
1	0.884331	1.000000
3	0.999275	1.000000
3	0.990868	1.000000
2	0.837926	1.000000
1	0.801817	1.000000
2	0.988679	1.000000
1	0.786752	1.000000
3	0.897899	1.000000
3	0.999515	1.000000
3	0.979450	1.000000
3	0.982446	1.000000
1	0.988703	1.000000
2	0.984588	1.000000
3	0.998700	1.000000
2	0.912179	1.000000
3	0.994398	1.000000
3	0.977263	1.000000
2	0.527550	0.875000
1	0.869982	1.000000
2	0.674657	1.000000
2	0.952956	1.000000
3	0.981610	1.000000
3	0.999461	1.000000
2	0.915763	1.000000
2	0.990759	1.000000
2	0.911022	1.000000
2	0.601526	0.875000
2	0.610288	1.000000
1	0.948315	1.000000
4	0.602135	1.000000
2	0.575017	0.750000
1	0.995299	1.000000
1	0.982877	1.000000
2	0.408203	1.000000
2	0.752880	1.000000
1	0.971744	1.000000
4	0.809975	1.000000
4	0.980268	1.000000
1	0.967305	1.000000
2	0.775388	1.000000
2	0.647018	1.000000
3	0.965777	1.000000
1	0.999039	1.000000
1	0.998397	1.000000
2	0.368033	0.875000
1	0.998402	1.000000
3	0.999970	1.000000
1	0.999522	1.000000
3	0.938628	1.000000
4	0.889137	1.000000
1	0.985751	1.000000
1	0.996136	1.000000
1	0.999838	1.000000
2	0.942748	1.000000
2	0.879364	1.000000
4	0.431362	1.000000
2	0.973508	1.000000
2	0.639935	1.000000
1	0.956626	1.000000
2	0.642980	1.000000
3	0.999153	1.000000
2	0.985106	1.000000
1	0.999777	1.000000
1	0.993001	1.000000
2	0.992783	1.000000
3	0.990742	1.000000
2	0.971623	1.000000
1	0.999871	1.000000
3	0.959890	1.000000
4	0.521957	1.000000
1	0.998177	1.000000
4	0.570729	1.000000
3	0.999400	1.000000
1	0.724882	1.000000
1	0.996963	1.000000
2	0.837333	1.000000
1	0.997500	1.000000
2	0.997572	1.000000
3	0.965261	1.000000
1	0.987297	1.000000
4	0.572782	1.000000
1	0.999587	1.000000
1	0.996244	1.000000
1	0.799721	1.000000
2	0.991742	1.000000
4	0.707891	1.000000
1	0.935910	1.000000
4	0.977726	1.000000
2	0.995715	1.000000
1	0.996660	1.000000
3	0.982673	1.000000
3	0.996611	1.000000
2	0.808698	1.000000
4	0.877352	1.000000
1	0.994555	1.000000
1	0.988758	1.000000
1	0.999976	1.000000
1	0.465360	0.875000
2	0.510721	0.500000
2	0.884509	1.000000
2	0.787773	1.000000
3	0.872254	1.000000
3	0.991333	1.000000
1	0.968331	1.000000
3	0.999574	1.000000
3	0.995460	1.000000
1	0.986380	1.000000
4	0.966368	1.000000
3	0.999471	1.000000
3	0.999455	1.000000
3	0.997932	1.000000
1	0.893668	1.000000
2	0.997478	1.000000
1	0.670149	1.000000
2	0.964142	1.000000
3	0.820771	1.000000
3	0.999645	1.000000
3	0.999273	1.000000
2	0.572935	0.750000
2	0.997881	1.000000
1	0.989555	1.000000
1	0.989111	1.000000
1	0.855755	1.000000
3	0.998190	1.000000
2	0.588616	0.875000
3	0.999192	1.000000
3	0.997511	1.000000
3	0.957792	1.000000
4	0.758447	1.000000
2	0.905492	1.000000
1	0.996396	1.000000
3	0.965676	1.000000
2	0.967926	1.000000
4	0.948195	1.000000
3	0.999741	1.000000
4	0.643827	1.000000
1	0.988724	1.000000
2	0.598452	0.875000
1	0.979943	1.000000
3	0.999633	1.000000
3	0.999776	1.000000
3	0.999883	1.000000
3	0.985863	1.000000
1	0.935480	1.000000
4	0.768534	1.000000
2	0.949535	1.000000
3	0.999759	1.000000
1	0.946846	1.000000
4	0.941757	1.000000
4	0.359217	0.625000
3	0.991814	1.000000
1	0.998047	1.000000
1	0.998061	1.000000
3	0.891584	1.000000
1	0.919151	1.000000
2	0.947420	1.000000
1	0.918737	1.000000
1	0.952630	1.000000
3	0.986874	1.000000
3	0.999397	1.000000
3	0.998823	1.000000
1	0.996835	1.000000
1	0.999732	1.000000
4	0.857463	1.000000
4	0.871595	1.000000
4	0.926724	1.000000
3	0.945939	1.000000
2	0.853866	1.000000
4	0.982517	1.000000
2	0.778718	1.000000
2	0.735812	1.000000
2	0.742875	1.000000
2	0.967622	1.000000
1	0.995318	1.000000
2	0.989309	1.000000
1	0.999674	1.000000
2	0.613569	1.000000
1	0.999524	1.000000
2	0.973938	1.000000
1	0.948296	1.000000
1	0.991923	1.000000
3	0.999583	1.000000
3	0.644793	1.000000
2	0.977105	1.000000
2	0.996518	1.000000
1	0.998163	1.000000
2	0.979380	1.000000
3	0.998952	1.000000
3	0.999399	1.000000
3	0.771493	1.000000
2	0.610481	0.875000
3	0.999904	1.000000
1	0.985010	1.000000
2	0.994607	1.000000
1	0.993323	1.000000
3	0.998658	1.000000
4	0.832637	1.000000
3	0.999638	1.000000
2	0.653238	1.000000
1	0.909701	1.000000
3	0.999661	1.000000
2	0.960468	1.000000
1	0.984227	1.000000
1	0.976356	1.000000
3	0.991017	1.000000
1	0.400855	0.500000
2	0.951221	1.000000
3	0.980070	1.000000
1	0.956412	1.000000
3	0.983335	1.000000
4	0.706470	1.000000
3	0.989665	1.000000
4	0.609450	1.000000
3	0.876732	1.000000
3	0.999725	1.000000
3	0.990552	1.000000
1	0.999671	1.000000
1	0.988328	1.000000
4	0.619270	1.000000
3	0.993592	1.000000
2	0.992255	1.000000
1	0.635961	1.000000
1	0.999583	1.000000
3	0.999534	1.000000
3	0.996574	1.000000
1	0.968709	1.000000
3	0.944768	1.000000
3	0.685538	1.000000
1	0.993450	1.000000
3	0.988800	1.000000
1	0.999814	1.000000
2	0.774723	1.000000
1	0.997203	1.000000
2	0.986513	1.000000
3	0.999539	1.000000
3	0.944685	1.000000
3	0.995667	1.000000
3	0.936114	1.000000
2	0.994915	1.000000
2	0.990507	1.000000
3	0.591346	1.000000
1	0.772143	1.000000
1	0.995483	1.000000
3	0.999800	1.000000
4	0.487343	0.750000
3	0.998737	1.000000
3	0.998733	1.000000
4	0.784362	1.000000
2	0.761888	1.000000
3	0.986755	1.000000
3	0.899081	1.000000
3	0.999433	1.000000
3	0.999868	1.000000
4	0.810360	1.000000
1	0.999005	1.000000
4	0.568628	0.625000
2	0.676027	1.000000
2	0.979212	1.000000
2	0.996608	1.000000
4	0.508972	0.875000
2	0.913546	1.000000
3	0.999960	1.000000
3	0.997371	1.000000
4	0.673612	1.000000
3	0.980961	1.000000
1	0.952239	1.000000
2	0.630263	0.875000
1	0.992491	1.000000
3	0.999261	1.000000
2	0.991276	1.000000
3	0.974661	1.000000
1	0.997473	1.000000
3	0.991606	1.000000
2	0.552714	0.750000
3	0.980201	1.000000
4	0.625155	1.000000
2	0.775116	1.000000
1	0.998731	1.000000
3	0.996876	1.000000
2	0.475074	0.875000
1	0.995976	1.000000
1	0.989470	1.000000
3	0.999501	1.000000
2	0.717444	1.000000
3	0.990116	1.000000
2	0.987091	1.000000
2	0.832400	1.000000
3	0.956332	1.000000
1	0.994607	1.000000
2	0.991603	1.000000
3	0.999828	1.000000
3	0.998479	1.000000
2	0.970884	1.000000
1	0.981802	1.000000
2	0.545802	0.750000
1	0.990231	1.000000
2	0.970499	1.000000
3	0.590642	1.000000
3	0.997191	1.000000
1	0.940981	1.000000
1	0.760118	1.000000
1	0.989226	1.000000
2	0.807155	1.000000
1	0.997509	1.000000
3	0.998738	1.000000
1	0.518655	0.625000
1	0.996151	1.000000
3	0.997198	1.000000
1	0.993953	1.000000
4	0.682679	1.000000
1	0.981948	1.000000
1	0.983549	1.000000
2	0.787165	1.000000
1	0.923534	1.000000
4	0.741599	1.000000
3	0.946734	1.000000
2	0.607131	0.875000
3	0.994470	1.000000
2	0.886503	1.000000
1	0.997465	1.000000
2	0.927214	1.000000
1	0.611017	1.000000
3	0.999882	1.000000
3	0.999985	1.000000
3	0.986656	1.000000
3	0.943084	1.000000
1	0.989587	1.000000
3	0.965228	1.000000
4	0.914751	1.000000
3	0.999772	1.000000
3	0.985657	1.000000
4	0.341166	0.500000
1	0.583184	1.000000
1	0.753551	1.000000
3	0.992295	1.000000
1	0.994944	1.000000
2	0.988381	1.000000
4	0.679853	1.000000
2	0.891820	1.000000
1	0.582899	1.000000
1	0.998242	1.000000
2	0.997450	1.000000
1	0.954302	1.000000
3	0.699863	1.000000
4	0.748002	1.000000
4	0.821003	1.000000
3	0.825854	1.000000
4	0.970216	1.000000
1	0.989560	1.000000
4	0.860885	1.000000
3	0.999248	1.000000
1	0.719424	1.000000
1	0.998949	1.000000
1	0.999141	1.000000
1	0.997468	1.000000
1	0.976161	1.000000
1	0.997951	1.000000
1	0.978144	1.000000
2	0.841588	1.000000
3	0.780442	1.000000
3	0.680459	1.000000
1	0.972239	1.000000
2	0.952950	1.000000
4	0.991292	1.000000
3	0.574096	1.000000
3	0.998714	1.000000
3	0.999747	1.000000
1	0.997994	1.000000
3	0.998045	1.000000
3	0.983468	1.000000
1	0.980818	1.000000
1	0.996744	1.000000
3	0.971194	1.000000
2	0.898772	1.000000
3	0.999528	1.000000
2	0.944067	1.000000
3	0.987560	1.000000
4	0.917876	1.000000
3	0.999959	1.000000
3	0.542293	0.750000
1	0.994957	1.000000
2	0.616094	1.000000
2	0.548346	0.875000
4	0.609595	0.875000
1	0.391718	0.750000
3	0.587306	1.000000
1	0.998364	1.000000
1	0.988009	1.000000
1	0.996248	1.000000
1	0.995779	1.000000
4	0.861390	1.000000
1	0.999223	1.000000
3	0.999502	1.000000
1	0.952231	1.000000
3	0.998535	1.000000
1	0.980236	1.000000
3	0.998600	1.000000
1	0.998255	1.000000
4	0.899919	1.000000
3	0.967409	1.000000
1	0.961781	1.000000
1	0.930783	1.000000
1	0.997770	1.000000
2	0.972907	1.000000
2	0.872923	1.000000
2	0.801630	1.000000
3	0.711657	1.000000
1	0.979638	1.000000
1	0.978471	1.000000
1	0.739301	1.000000
1	0.979549	1.000000
4	0.515564	0.625000
3	0.999974	1.000000
3	0.987258	1.000000
3	0.951678	1.000000
1	0.983276	1.000000
3	0.998818	1.000000
3	0.987575	1.000000
1	0.853251	1.000000
4	0.853622	1.000000
1	0.756337	1.000000
4	0.527147	0.500000
2	0.835490	1.000000
1	0.876010	1.000000
4	0.576910	1.000000
1	0.694345	1.000000
2	0.992939	1.000000
1	0.974644	1.000000
