predicted_label	confidence	ensemble_agreement
2	0.376233	1.000000
3	0.773252	1.000000
3	0.659104	1.000000
1	0.742243	1.000000
1	0.461771	1.000000
3	0.430348	1.000000
3	0.660549	1.000000
4	0.401620	1.000000
3	0.693764	1.000000
2	0.366374	1.000000
1	0.603669	1.000000
2	0.319709	1.000000
1	0.665108	1.000000
1	0.475670	1.000000
3	0.348977	1.000000
3	0.762849	1.000000
4	0.356540	1.000000
4	0.339146	1.000000
3	0.698418	1.000000
1	0.605762	1.000000
1	0.410511	1.000000
1	0.552852	1.000000
2	0.429505	1.000000
3	0.701959	1.000000
1	0.703908	1.000000
3	0.652680	1.000000
2	0.425688	1.000000
1	0.462887	1.000000
1	0.301560	0.875000
2	0.458069	1.000000
3	0.596432	1.000000
3	0.490710	1.000000
3	0.333582	1.000000
1	0.494384	1.000000
2	0.354102	1.000000
3	0.555562	1.000000
1	0.544258	1.000000
2	0.410247	1.000000
1	0.677117	1.000000
1	0.357218	1.000000
1	0.424749	1.000000
1	0.466579	1.000000
1	0.381612	1.000000
2	0.498538	1.000000
2	0.468461	1.000000
3	0.650503	1.000000
3	0.748847	1.000000
1	0.495454	1.000000
3	0.519042	1.000000
1	0.408902	1.000000
1	0.590158	1.000000
4	0.378613	0.875000
1	0.367053	1.000000
2	0.428213	1.000000
3	0.305647	1.000000
2	0.336428	1.000000
3	0.297940	0.750000
2	0.434540	1.000000
3	0.836844	1.000000
4	0.336774	1.000000
1	0.294889	1.000000
3	0.626161	1.000000
2	0.341909	1.000000
1	0.413693	1.000000
1	0.641748	1.000000
1	0.453981	1.000000
4	0.302044	0.750000
3	0.465892	1.000000
1	0.422313	1.000000
1	0.552724	1.000000
3	0.676861	1.000000
1	0.360664	1.000000
1	0.408561	1.000000
2	0.437076	1.000000
1	0.759481	1.000000
3	0.579802	1.000000
2	0.353846	0.875000
1	0.736738	1.000000
2	0.313779	1.000000
2	0.370949	1.000000
3	0.565779	1.000000
1	0.644149	1.000000
1	0.650327	1.000000
1	0.423543	1.000000
1	0.811720	1.000000
4	0.322051	1.000000
2	0.571693	1.000000
3	0.538363	1.000000
3	0.305835	1.000000
1	0.643088	1.000000
1	0.496644	1.000000
1	0.568440	1.000000
2	0.414082	1.000000
1	0.322235	0.750000
3	0.785662	1.000000
3	0.347617	1.000000
2	0.433931	1.000000
3	0.611109	1.000000
2	0.402043	1.000000
1	0.487627	1.000000
3	0.700960	1.000000
2	0.354415	0.625000
