predicted_label	confidence	ensemble_agreement
2	0.799974	1.000000
3	0.999645	1.000000
3	0.998746	1.000000
1	0.907042	1.000000
3	0.703532	1.000000
2	0.676318	1.000000
3	0.997076	1.000000
4	0.897477	1.000000
3	0.999210	1.000000
2	0.885078	1.000000
1	0.875153	1.000000
2	0.639203	1.000000
1	0.999420	1.000000
1	0.991483	1.000000
2	0.553698	1.000000
3	0.999763	1.000000
4	0.769765	1.000000
4	0.879651	1.000000
3	0.999287	1.000000
1	0.939415	1.000000
1	0.934701	1.000000
1	0.941163	1.000000
2	0.992007	1.000000
3	0.996598	1.000000
1	0.991053	1.000000
3	0.998584	1.000000
2	0.953598	1.000000
1	0.937764	1.000000
3	0.949718	1.000000
2	0.985432	1.000000
3	0.995854	1.000000
3	0.998065	1.000000
4	0.560811	1.000000
1	0.997932	1.000000
2	0.550965	0.625000
3	0.992206	1.000000
1	0.972668	1.000000
2	0.872001	1.000000
1	0.991966	1.000000
3	0.612187	1.000000
1	0.908327	1.000000
1	0.950844	1.000000
1	0.934757	1.000000
2	0.969266	1.000000
2	0.990790	1.000000
3	0.996404	1.000000
3	0.995976	1.000000
1	0.847027	1.000000
3	0.840670	1.000000
1	0.926613	1.000000
1	0.982082	1.000000
4	0.914480	1.000000
1	0.883461	1.000000
2	0.924521	1.000000
3	0.916503	1.000000
2	0.917282	1.000000
3	0.658566	1.000000
2	0.912481	1.000000
3	0.999937	1.000000
4	0.907657	1.000000
3	0.815878	1.000000
3	0.971964	1.000000
2	0.752662	1.000000
1	0.875559	1.000000
1	0.991713	1.000000
1	0.741684	1.000000
4	0.683842	1.000000
3	0.897956	1.000000
1	0.936298	1.000000
1	0.965356	1.000000
3	0.992667	1.000000
3	0.675374	1.000000
3	0.510802	0.750000
2	0.874178	1.000000
1	0.998349	1.000000
3	0.998498	1.000000
4	0.519979	0.875000
1	0.995099	1.000000
2	0.826409	1.000000
2	0.931278	1.000000
3	0.997692	1.000000
1	0.996993	1.000000
1	0.993225	1.000000
1	0.463149	1.000000
1	0.999937	1.000000
4	0.860890	1.000000
2	0.983268	1.000000
3	0.990972	1.000000
3	0.917758	1.000000
1	0.989771	1.000000
1	0.905551	1.000000
1	0.963395	1.000000
2	0.880908	1.000000
4	0.717328	1.000000
3	0.999688	1.000000
3	0.986618	1.000000
2	0.958747	1.000000
3	0.998469	1.000000
2	0.928784	1.000000
1	0.849225	1.000000
3	0.999503	1.000000
2	0.932457	1.000000
1	0.875759	1.000000
3	0.878419	1.000000
4	0.730375	1.000000
2	0.915389	1.000000
2	0.911866	1.000000
3	0.998328	1.000000
3	0.996139	1.000000
1	0.961059	1.000000
3	0.991415	1.000000
3	0.998593	1.000000
3	0.500236	0.625000
1	0.964193	1.000000
2	0.689234	1.000000
2	0.988713	1.000000
3	0.999948	1.000000
1	0.592498	1.000000
2	0.837740	1.000000
1	0.674880	1.000000
4	0.567966	0.875000
3	0.997656	1.000000
3	0.999139	1.000000
1	0.913838	1.000000
3	0.997332	1.000000
2	0.839601	1.000000
1	0.995586	1.000000
1	0.993273	1.000000
1	0.996854	1.000000
2	0.635254	1.000000
2	0.988402	1.000000
3	0.995336	1.000000
3	0.994405	1.000000
2	0.665608	1.000000
3	0.998754	1.000000
3	0.908707	1.000000
3	0.782192	1.000000
2	0.994272	1.000000
2	0.969972	1.000000
2	0.464480	1.000000
4	0.733737	1.000000
3	0.951165	1.000000
2	0.932879	1.000000
4	0.644181	1.000000
2	0.918315	1.000000
3	0.999507	1.000000
2	0.661982	1.000000
2	0.923063	1.000000
3	0.994761	1.000000
3	0.998523	1.000000
1	0.991403	1.000000
2	0.548411	1.000000
2	0.932088	1.000000
2	0.776153	1.000000
1	0.922094	1.000000
2	0.960073	1.000000
1	0.500711	0.500000
3	0.999368	1.000000
2	0.920785	1.000000
2	0.794146	1.000000
3	0.863487	1.000000
3	0.999891	1.000000
4	0.717934	1.000000
1	0.895568	1.000000
3	0.999580	1.000000
4	0.963008	1.000000
2	0.731030	1.000000
1	0.812698	1.000000
1	0.997284	1.000000
1	0.991366	1.000000
2	0.996580	1.000000
1	0.996961	1.000000
3	0.945127	1.000000
4	0.499441	0.625000
4	0.919134	1.000000
3	0.999318	1.000000
3	0.973626	1.000000
2	0.551299	0.875000
3	0.998930	1.000000
1	0.779511	1.000000
1	0.992465	1.000000
1	0.945953	1.000000
1	0.980135	1.000000
2	0.666002	1.000000
3	0.972563	1.000000
4	0.590883	0.875000
1	0.977766	1.000000
1	0.983987	1.000000
2	0.705238	1.000000
2	0.901201	1.000000
1	0.996436	1.000000
3	0.973719	1.000000
3	0.968597	1.000000
1	0.970199	1.000000
4	0.641902	1.000000
3	0.996351	1.000000
1	0.998080	1.000000
3	0.996341	1.000000
3	0.954193	1.000000
1	0.991275	1.000000
2	0.842968	1.000000
4	0.915375	1.000000
3	0.995825	1.000000
1	0.993100	1.000000
1	0.988502	1.000000
2	0.937829	1.000000
2	0.962319	1.000000
3	0.992568	1.000000
1	0.981145	1.000000
1	0.930082	1.000000
3	0.994509	1.000000
4	0.948068	1.000000
3	0.998875	1.000000
3	0.885711	1.000000
1	0.861782	1.000000
1	0.963874	1.000000
3	0.987921	1.000000
1	0.993728	1.000000
3	0.994724	1.000000
2	0.863753	1.000000
2	0.871080	1.000000
4	0.563247	1.000000
3	0.997435	1.000000
3	0.739496	1.000000
1	0.984773	1.000000
1	0.735047	1.000000
2	0.624448	1.000000
4	0.749762	1.000000
1	0.999357	1.000000
4	0.528334	1.000000
4	0.941996	1.000000
2	0.861938	1.000000
1	0.985666	1.000000
2	0.947415	1.000000
3	0.985285	1.000000
3	0.999675	1.000000
3	0.943322	1.000000
1	0.996368	1.000000
3	0.991138	1.000000
4	0.946629	1.000000
4	0.633532	1.000000
3	0.983991	1.000000
3	0.998366	1.000000
1	0.612912	1.000000
2	0.971193	1.000000
4	0.972527	1.000000
4	0.686534	1.000000
4	0.818678	1.000000
3	0.999784	1.000000
3	0.994876	1.000000
4	0.864757	1.000000
3	0.401474	0.500000
3	0.946554	1.000000
3	0.987980	1.000000
4	0.730393	1.000000
1	0.715002	1.000000
3	0.966203	1.000000
3	0.997992	1.000000
3	0.401249	0.875000
1	0.998950	1.000000
4	0.839207	1.000000
1	0.996787	1.000000
2	0.991335	1.000000
1	0.865967	1.000000
1	0.916899	1.000000
3	0.999515	1.000000
4	0.768698	1.000000
1	0.975935	1.000000
2	0.684965	1.000000
1	0.978678	1.000000
1	0.989912	1.000000
2	0.942198	1.000000
4	0.462903	0.625000
1	0.962154	1.000000
3	0.998008	1.000000
1	0.902128	1.000000
4	0.725873	1.000000
1	0.969106	1.000000
2	0.883942	1.000000
2	0.837530	1.000000
1	0.962285	1.000000
3	0.999871	1.000000
3	0.937269	1.000000
3	0.999864	1.000000
1	0.837446	1.000000
1	0.996828	1.000000
3	0.993397	1.000000
3	0.823493	1.000000
1	0.905529	1.000000
2	0.546262	1.000000
1	0.850251	1.000000
1	0.602237	1.000000
2	0.956537	1.000000
3	0.848889	1.000000
1	0.901796	1.000000
4	0.956758	1.000000
1	0.982800	1.000000
1	0.960710	1.000000
3	0.898274	1.000000
4	0.813125	1.000000
2	0.967295	1.000000
1	0.969068	1.000000
2	0.842306	1.000000
1	0.999069	1.000000
1	0.997457	1.000000
2	0.571144	1.000000
3	0.989267	1.000000
4	0.853800	1.000000
1	0.990369	1.000000
2	0.969315	1.000000
1	0.995241	1.000000
3	0.990449	1.000000
3	0.979575	1.000000
1	0.606050	1.000000
2	0.961647	1.000000
3	0.994365	1.000000
4	0.900021	1.000000
3	0.990915	1.000000
2	0.989225	1.000000
3	0.608941	1.000000
3	0.891147	1.000000
1	0.981432	1.000000
1	0.985993	1.000000
1	0.998467	1.000000
4	0.760655	1.000000
3	0.998575	1.000000
1	0.987164	1.000000
3	0.940422	1.000000
1	0.958096	1.000000
3	0.997151	1.000000
3	0.989111	1.000000
2	0.683540	1.000000
3	0.668072	1.000000
1	0.995580	1.000000
2	0.941758	1.000000
1	0.981689	1.000000
2	0.833220	1.000000
1	0.992110	1.000000
2	0.897223	1.000000
4	0.636919	1.000000
3	0.998334	1.000000
2	0.908758	1.000000
3	0.987338	1.000000
3	0.995408	1.000000
2	0.902936	1.000000
1	0.798737	1.000000
1	0.981608	1.000000
2	0.939670	1.000000
3	0.998441	1.000000
3	0.993819	1.000000
2	0.996172	1.000000
1	0.901487	1.000000
1	0.959176	1.000000
3	0.997640	1.000000
1	0.991583	1.000000
3	0.999217	1.000000
4	0.920494	1.000000
1	0.999465	1.000000
1	0.985880	1.000000
3	0.946215	1.000000
4	0.510687	0.750000
1	0.989278	1.000000
1	0.976356	1.000000
1	0.917233	1.000000
3	0.999524	1.000000
3	0.936635	1.000000
1	0.997761	1.000000
1	0.610247	1.000000
4	0.745221	1.000000
2	0.962133	1.000000
3	0.998853	1.000000
1	0.995525	1.000000
2	0.589041	1.000000
4	0.951291	1.000000
1	0.968956	1.000000
2	0.811977	1.000000
2	0.511122	0.875000
1	0.977715	1.000000
1	0.960103	1.000000
1	0.974425	1.000000
1	0.990826	1.000000
1	0.998830	1.000000
3	0.999650	1.000000
1	0.989894	1.000000
3	0.998358	1.000000
4	0.938143	1.000000
3	0.861241	1.000000
3	0.998465	1.000000
1	0.999390	1.000000
1	0.991992	1.000000
2	0.452349	0.625000
4	0.756955	1.000000
4	0.636776	1.000000
3	0.998127	1.000000
1	0.996235	1.000000
2	0.740575	1.000000
3	0.994649	1.000000
2	0.962008	1.000000
1	0.996485	1.000000
2	0.693120	1.000000
3	0.885921	1.000000
3	0.996505	1.000000
1	0.979860	1.000000
1	0.987080	1.000000
4	0.797520	1.000000
3	0.742416	1.000000
2	0.713936	1.000000
3	0.501768	0.500000
1	0.952140	1.000000
1	0.999720	1.000000
2	0.622477	0.875000
4	0.947026	1.000000
2	0.816651	1.000000
4	0.550699	1.000000
3	0.956267	1.000000
4	0.595276	1.000000
1	0.973025	1.000000
3	0.423950	1.000000
1	0.855964	1.000000
4	0.688681	1.000000
2	0.989132	1.000000
2	0.971000	1.000000
4	0.817190	1.000000
1	0.880318	1.000000
3	0.997748	1.000000
1	0.978200	1.000000
2	0.953921	1.000000
3	0.995736	1.000000
3	0.997235	1.000000
1	0.962488	1.000000
3	0.999552	1.000000
3	0.996753	1.000000
3	0.999581	1.000000
1	0.997067	1.000000
4	0.909582	1.000000
3	0.999236	1.000000
1	0.994531	1.000000
1	0.998123	1.000000
3	0.702775	1.000000
1	0.999395	1.000000
1	0.907351	1.000000
1	0.967537	1.000000
3	0.987095	1.000000
3	0.830568	1.000000
1	0.925156	1.000000
1	0.603133	1.000000
1	0.665646	1.000000
1	0.963048	1.000000
3	0.999004	1.000000
1	0.996866	1.000000
1	0.999214	1.000000
2	0.450068	0.875000
1	0.958043	1.000000
3	0.997349	1.000000
2	0.878063	1.000000
2	0.712789	1.000000
4	0.685507	1.000000
2	0.666150	1.000000
2	0.885733	1.000000
3	0.775070	1.000000
3	0.729644	1.000000
4	0.582268	1.000000
2	0.515015	0.875000
1	0.622977	1.000000
1	0.990925	1.000000
4	0.812473	1.000000
1	0.985574	1.000000
2	0.624016	1.000000
3	0.810906	1.000000
2	0.955813	1.000000
1	0.997612	1.000000
1	0.957592	1.000000
1	0.970926	1.000000
2	0.889622	1.000000
4	0.934046	1.000000
1	0.891841	1.000000
3	0.998184	1.000000
3	0.931954	1.000000
3	0.995411	1.000000
2	0.883457	1.000000
3	0.967858	1.000000
1	0.944860	1.000000
4	0.858473	1.000000
1	0.999439	1.000000
2	0.943011	1.000000
4	0.904549	1.000000
3	0.997809	1.000000
3	0.972102	1.000000
1	0.974004	1.000000
1	0.937379	1.000000
1	0.993373	1.000000
1	0.990548	1.000000
2	0.569073	0.625000
1	0.980431	1.000000
3	0.999087	1.000000
2	0.518728	0.625000
1	0.989809	1.000000
1	0.993715	1.000000
2	0.916105	1.000000
3	0.873296	1.000000
1	0.615351	1.000000
3	0.985007	1.000000
1	0.809296	1.000000
3	0.840842	1.000000
1	0.999373	1.000000
1	0.993624	1.000000
3	0.993660	1.000000
1	0.992097	1.000000
3	0.998435	1.000000
2	0.888598	1.000000
1	0.997288	1.000000
1	0.990550	1.000000
1	0.980364	1.000000
1	0.985202	1.000000
4	0.820989	1.000000
2	0.963525	1.000000
3	0.710012	1.000000
1	0.994675	1.000000
1	0.996403	1.000000
3	0.552413	1.000000
3	0.999653	1.000000
1	0.989052	1.000000
3	0.991852	1.000000
1	0.832302	1.000000
3	0.988100	1.000000
1	0.992761	1.000000
2	0.561645	0.750000
3	0.957465	1.000000
3	0.833190	1.000000
2	0.574451	1.000000
1	0.998616	1.000000
1	0.960375	1.000000
2	0.838279	1.000000
2	0.981154	1.000000
2	0.535037	0.875000
1	0.997982	1.000000
3	0.966688	1.000000
2	0.573743	0.750000
3	0.537532	1.000000
2	0.941384	1.000000
3	0.359809	1.000000
3	0.999255	1.000000
1	0.969621	1.000000
1	0.983863	1.000000
1	0.889348	1.000000
2	0.629548	1.000000
1	0.919187	1.000000
1	0.962115	1.000000
1	0.987747	1.000000
2	0.863086	1.000000
1	0.993309	1.000000
1	0.966555	1.000000
2	0.864246	1.000000
1	0.860174	1.000000
3	0.999622	1.000000
3	0.997208	1.000000
3	0.985532	1.000000
3	0.770087	1.000000
3	0.997770	1.000000
1	0.998467	1.000000
1	0.999824	1.000000
2	0.940216	1.000000
2	0.855537	1.000000
3	0.613885	1.000000
2	0.947291	1.000000
1	0.890611	1.000000
2	0.765940	1.000000
1	0.972210	1.000000
3	0.985462	1.000000
1	0.957790	1.000000
3	0.718450	1.000000
1	0.991782	1.000000
3	0.899527	1.000000
3	0.561581	0.625000
1	0.990562	1.000000
2	0.683551	1.000000
1	0.995982	1.000000
2	0.987573	1.000000
1	0.496941	0.500000
2	0.905799	1.000000
3	0.996237	1.000000
1	0.999535	1.000000
2	0.496810	0.750000
4	0.934813	1.000000
3	0.980739	1.000000
1	0.999594	1.000000
3	0.948058	1.000000
1	0.906644	1.000000
4	0.920323	1.000000
3	0.757317	1.000000
2	0.975350	1.000000
2	0.713925	1.000000
2	0.477236	0.625000
1	0.988613	1.000000
1	0.932118	1.000000
3	0.996232	1.000000
3	0.999829	1.000000
1	0.877353	1.000000
3	0.995792	1.000000
2	0.980343	1.000000
1	0.997185	1.000000
3	0.931863	1.000000
4	0.571502	1.000000
3	0.998408	1.000000
1	0.996857	1.000000
1	0.996547	1.000000
1	0.760695	1.000000
4	0.916524	1.000000
1	0.999449	1.000000
1	0.904013	1.000000
4	0.830218	1.000000
4	0.496484	0.875000
4	0.736822	1.000000
4	0.521301	0.625000
1	0.967070	1.000000
1	0.721783	1.000000
1	0.876347	1.000000
3	0.999073	1.000000
2	0.716187	1.000000
4	0.582293	0.875000
1	0.996754	1.000000
1	0.986154	1.000000
1	0.970191	1.000000
2	0.988020	1.000000
3	0.949083	1.000000
1	0.935721	1.000000
1	0.998027	1.000000
4	0.751597	1.000000
1	0.968878	1.000000
1	0.990975	1.000000
3	0.963365	1.000000
2	0.885390	1.000000
3	0.999824	1.000000
1	0.929288	1.000000
1	0.473627	1.000000
1	0.847396	1.000000
4	0.785433	1.000000
2	0.969472	1.000000
1	0.965191	1.000000
4	0.985828	1.000000
3	0.994657	1.000000
3	0.567191	0.875000
1	0.806510	1.000000
3	0.999795	1.000000
3	0.971337	1.000000
2	0.607454	1.000000
2	0.698663	1.000000
1	0.911954	1.000000
1	0.890288	1.000000
3	0.977149	1.000000
2	0.529107	0.625000
3	0.996924	1.000000
4	0.836955	1.000000
2	0.902641	1.000000
2	0.630810	0.875000
2	0.725345	1.000000
1	0.966027	1.000000
3	0.994030	1.000000
2	0.936246	1.000000
1	0.966543	1.000000
2	0.873581	1.000000
2	0.946108	1.000000
1	0.926832	1.000000
3	0.996534	1.000000
2	0.942032	1.000000
3	0.741380	1.000000
3	0.938243	1.000000
2	0.972995	1.000000
2	0.972462	1.000000
4	0.995004	1.000000
4	0.778484	1.000000
1	0.972038	1.000000
2	0.868482	1.000000
2	0.980356	1.000000
3	0.896171	1.000000
3	0.991754	1.000000
2	0.992446	1.000000
2	0.927387	1.000000
3	0.999561	1.000000
3	0.873976	1.000000
3	0.998900	1.000000
2	0.968589	1.000000
4	0.776434	1.000000
1	0.486989	1.000000
1	0.995875	1.000000
1	0.998362	1.000000
3	0.995964	1.000000
4	0.894999	1.000000
2	0.448431	0.500000
2	0.987570	1.000000
3	0.998749	1.000000
3	0.998296	1.000000
3	0.531743	1.000000
4	0.905652	1.000000
3	0.582478	0.875000
1	0.996170	1.000000
3	0.988171	1.000000
3	0.999433	1.000000
1	0.736038	1.000000
3	0.987072	1.000000
2	0.984219	1.000000
1	0.993800	1.000000
3	0.933979	1.000000
1	0.920592	1.000000
1	0.997859	1.000000
1	0.839296	1.000000
1	0.989819	1.000000
1	0.997173	1.000000
2	0.786296	1.000000
1	0.970920	1.000000
1	0.973489	1.000000
1	0.964172	1.000000
3	0.999962	1.000000
2	0.992254	1.000000
1	0.794688	1.000000
2	0.964850	1.000000
2	0.565677	0.750000
4	0.563027	1.000000
1	0.916664	1.000000
2	0.918842	1.000000
2	0.768411	1.000000
3	0.999582	1.000000
3	0.619089	1.000000
2	0.519764	0.500000
1	0.995175	1.000000
3	0.999627	1.000000
2	0.825452	1.000000
1	0.974264	1.000000
2	0.966695	1.000000
2	0.757106	1.000000
3	0.734197	1.000000
3	0.611668	1.000000
1	0.990022	1.000000
2	0.955748	1.000000
1	0.936893	1.000000
1	0.996011	1.000000
2	0.729247	1.000000
2	0.942235	1.000000
2	0.916069	1.000000
1	0.947321	1.000000
3	0.544124	1.000000
1	0.967680	1.000000
3	0.999052	1.000000
1	0.995988	1.000000
2	0.881666	1.000000
1	0.988780	1.000000
3	0.999630	1.000000
1	0.764568	1.000000
1	0.985638	1.000000
2	0.535961	0.500000
2	0.965706	1.000000
2	0.967001	1.000000
2	0.508981	0.875000
1	0.951938	1.000000
3	0.998577	1.000000
2	0.656676	1.000000
1	0.923011	1.000000
3	0.432198	0.875000
3	0.999723	1.000000
2	0.958325	1.000000
3	0.677782	1.000000
1	0.874383	1.000000
3	0.951500	1.000000
2	0.576420	1.000000
1	0.972577	1.000000
3	0.926776	1.000000
2	0.685886	1.000000
2	0.879961	1.000000
3	0.977831	1.000000
1	0.828185	1.000000
2	0.594251	1.000000
3	0.987583	1.000000
4	0.564471	1.000000
2	0.955192	1.000000
4	0.775510	1.000000
3	0.862881	1.000000
3	0.960988	1.000000
3	0.998145	1.000000
2	0.944033	1.000000
3	0.952106	1.000000
4	0.944265	1.000000
2	0.952964	1.000000
1	0.865102	1.000000
3	0.981300	1.000000
2	0.974056	1.000000
4	0.771909	1.000000
1	0.997065	1.000000
4	0.900100	1.000000
1	0.396953	0.500000
4	0.559041	1.000000
3	0.997253	1.000000
2	0.994916	1.000000
1	0.974794	1.000000
1	0.997208	1.000000
2	0.885102	1.000000
3	0.989539	1.000000
3	0.992056	1.000000
1	0.950851	1.000000
4	0.574484	1.000000
1	0.990815	1.000000
2	0.931577	1.000000
3	0.997117	1.000000
3	0.999077	1.000000
1	0.998474	1.000000
1	0.969883	1.000000
3	0.968174	1.000000
3	0.617896	1.000000
3	0.841058	1.000000
3	0.996878	1.000000
2	0.931475	1.000000
3	0.987521	1.000000
1	0.992468	1.000000
4	0.845037	1.000000
1	0.975148	1.000000
3	0.927648	1.000000
1	0.828580	1.000000
2	0.708499	1.000000
2	0.969859	1.000000
1	0.938827	1.000000
3	0.981014	1.000000
2	0.998255	1.000000
4	0.790039	1.000000
3	0.984208	1.000000
1	0.572652	0.875000
1	0.991288	1.000000
1	0.994794	1.000000
3	0.601850	1.000000
1	0.970322	1.000000
2	0.791284	1.000000
3	0.999813	1.000000
1	0.960513	1.000000
3	0.997940	1.000000
4	0.997630	1.000000
3	0.968373	1.000000
1	0.997569	1.000000
1	0.545876	1.000000
2	0.937242	1.000000
2	0.729744	1.000000
1	0.998732	1.000000
4	0.822246	1.000000
2	0.956221	1.000000
2	0.910849	1.000000
3	0.937450	1.000000
3	0.804037	1.000000
3	0.968685	1.000000
4	0.829737	1.000000
3	0.999881	1.000000
4	0.871255	1.000000
3	0.991098	1.000000
3	0.994190	1.000000
1	0.996041	1.000000
2	0.552906	0.875000
1	0.987553	1.000000
1	0.992633	1.000000
3	0.958016	1.000000
3	0.985919	1.000000
1	0.986818	1.000000
2	0.974105	1.000000
1	0.998229	1.000000
4	0.602996	0.875000
2	0.946641	1.000000
3	0.511286	0.500000
3	0.993471	1.000000
1	0.973435	1.000000
1	0.959933	1.000000
2	0.749598	1.000000
4	0.618096	1.000000
3	0.967305	1.000000
2	0.949310	1.000000
2	0.950855	1.000000
2	0.842572	1.000000
1	0.761304	1.000000
2	0.465260	0.750000
1	0.946782	1.000000
1	0.978636	1.000000
3	0.978432	1.000000
2	0.987898	1.000000
